2022-04-02 10:57:21,545 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,547 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,549 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,550 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,552 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,554 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,555 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,557 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,559 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,560 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,562 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,563 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,565 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,566 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,568 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,570 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,572 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
2022-04-02 10:57:21,638 [main] DEBUG -[SqlStatementLogger.java:94]- insert into adversarial_detection (advtargetpath, dataset, filename, has_result, resultpath) values (?, ?, ?, ?, ?)
